time,cpu utilisation (%)
05/04/2019 19:42,44.8
05/04/2019 19:43,44
05/04/2019 19:44,43.6
05/04/2019 19:45,43.2
05/04/2019 19:46,44
05/04/2019 19:47,43.2
05/04/2019 19:48,45.2
05/04/2019 19:49,44.8
05/04/2019 19:50,43.6
05/04/2019 19:51,42.4
05/04/2019 19:52,41.6
05/04/2019 19:53,41.2
05/04/2019 19:54,40.4
05/04/2019 19:55,40
05/04/2019 19:56,39.6
05/04/2019 19:57,39.2
05/04/2019 19:58,38.8
05/04/2019 19:59,38
05/04/2019 20:00,37.2
05/04/2019 20:01,36.8
05/04/2019 20:02,36
05/04/2019 20:03,35.2
05/04/2019 20:04,35.2
05/04/2019 20:05,34.8
05/04/2019 20:06,34
05/04/2019 20:07,35.6
05/04/2019 20:08,34.4
05/04/2019 20:09,33.6
05/04/2019 20:10,32.4
05/04/2019 20:11,31.6
05/04/2019 20:12,31.2
05/04/2019 20:13,30.4
05/04/2019 20:14,29.6
05/04/2019 20:15,28.8
05/04/2019 20:16,28.4
05/04/2019 20:17,28.4
05/04/2019 20:18,27.6
05/04/2019 20:19,27.2
05/04/2019 20:20,26.8
05/04/2019 20:21,26
05/04/2019 20:22,26
05/04/2019 20:23,25.6
05/04/2019 20:24,25.6
05/04/2019 20:25,25.6
05/04/2019 20:26,26.8
05/04/2019 20:27,26
05/04/2019 20:28,28
05/04/2019 20:29,26.4
05/04/2019 20:30,25.2
05/04/2019 20:31,24.4
05/04/2019 20:32,24.4
05/04/2019 20:33,25.6
05/04/2019 20:34,24.8
05/04/2019 20:35,24.8
05/04/2019 20:36,24
05/04/2019 20:37,22.8
05/04/2019 20:38,22.8
05/04/2019 20:39,23.2
05/04/2019 20:40,23.2
05/04/2019 20:41,26.8
05/04/2019 20:42,25.6
05/04/2019 20:43,24.8
05/04/2019 20:44,24.8
05/04/2019 20:45,24
05/04/2019 20:46,24
05/04/2019 20:47,25.6
05/04/2019 20:48,26
05/04/2019 20:49,26
05/04/2019 20:50,27.2
05/04/2019 20:51,27.2
05/04/2019 20:52,30.4
05/04/2019 20:53,30.4
05/04/2019 20:54,30.8
05/04/2019 20:55,31.2
05/04/2019 20:56,33.6
05/04/2019 20:57,34
05/04/2019 20:58,38.4
05/04/2019 20:59,38.8
05/04/2019 21:00,38.4
05/04/2019 21:01,39.6
05/04/2019 21:02,44.4
05/04/2019 21:03,48.8
05/04/2019 21:04,46.8
05/04/2019 21:05,46.4
05/04/2019 21:06,66.4
05/04/2019 21:07,64
05/04/2019 21:08,67.2
05/04/2019 21:09,81.2
05/04/2019 21:10,80.8
05/04/2019 21:11,71.6
05/04/2019 21:12,66
05/04/2019 21:13,60.8
05/04/2019 21:14,58.8
05/04/2019 21:15,69.6
05/04/2019 21:16,65.6
05/04/2019 21:17,74.4
05/04/2019 21:18,78.4
05/04/2019 21:19,84.4
05/04/2019 21:20,88
05/04/2019 21:21,90.8
05/04/2019 21:22,77.2
05/04/2019 21:23,69.2
05/04/2019 21:24,75.2
05/04/2019 21:25,70
05/04/2019 21:26,63.2
05/04/2019 21:27,62.8
05/04/2019 21:28,71.6
05/04/2019 21:29,67.6
05/04/2019 21:30,62.4
05/04/2019 21:31,58.8
05/04/2019 21:32,56
05/04/2019 21:33,55.2
05/04/2019 21:34,58
05/04/2019 21:35,54.8
05/04/2019 21:36,67.2
05/04/2019 21:37,61.6
05/04/2019 21:38,58.8
05/04/2019 21:39,55.6
05/04/2019 21:40,52.8
05/04/2019 21:41,68.8
05/04/2019 21:42,62.4
05/04/2019 21:43,56.8
05/04/2019 21:44,56.4
05/04/2019 21:45,52.8
05/04/2019 21:46,50.8
05/04/2019 21:47,49.6
05/04/2019 21:48,48
05/04/2019 21:49,47.2
05/04/2019 21:50,46
05/04/2019 21:51,45.6
05/04/2019 21:52,46.8
05/04/2019 21:53,46
05/04/2019 21:54,44.8
05/04/2019 21:55,44.4
05/04/2019 21:56,57.6
05/04/2019 21:57,69.2
05/04/2019 21:58,61.2
05/04/2019 21:59,54.8
05/04/2019 22:00,53.2
05/04/2019 22:01,49.2
05/04/2019 22:02,47.6
05/04/2019 22:03,46.4
05/04/2019 22:04,45.6
05/04/2019 22:05,44.4
05/04/2019 22:06,42.8
05/04/2019 22:07,42
05/04/2019 22:08,44
05/04/2019 22:09,43.2
05/04/2019 22:10,42
05/04/2019 22:11,44.8
05/04/2019 22:12,47.6
05/04/2019 22:13,45.2
05/04/2019 22:14,43.2
05/04/2019 22:15,41.6
05/04/2019 22:16,43.6
05/04/2019 22:17,41.6
05/04/2019 22:18,40
05/04/2019 22:19,38.8
05/04/2019 22:20,37.6
05/04/2019 22:21,37.2
05/04/2019 22:22,37.2
05/04/2019 22:23,37.2
05/04/2019 22:24,39.6
05/04/2019 22:25,38.4
05/04/2019 22:26,39.2
05/04/2019 22:27,37.6
05/04/2019 22:28,36.4
05/04/2019 22:29,36.4
05/04/2019 22:30,36
05/04/2019 22:31,34.4
05/04/2019 22:32,36.4
05/04/2019 22:33,34.4
05/04/2019 22:34,33.6
05/04/2019 22:35,32.4
05/04/2019 22:36,31.6
05/04/2019 22:37,31.6
05/04/2019 22:38,31.2
05/04/2019 22:39,30.4
05/04/2019 22:40,29.6
05/04/2019 22:41,29.2
05/04/2019 22:42,31.2
05/04/2019 22:43,29.6
05/04/2019 22:44,28.8
05/04/2019 22:45,28
05/04/2019 22:46,27.2
05/04/2019 22:47,26
05/04/2019 22:48,26
05/04/2019 22:49,25.6
05/04/2019 22:50,28
05/04/2019 22:51,29.6
05/04/2019 22:52,31.2
05/04/2019 22:53,31.6
05/04/2019 22:54,29.6
05/04/2019 22:55,28.8
05/04/2019 22:56,27.6
05/04/2019 22:57,28.4
05/04/2019 22:58,26.4
05/04/2019 22:59,25.2
05/04/2019 23:00,24.4
05/04/2019 23:01,24.4
05/04/2019 23:02,28
05/04/2019 23:03,26.8
05/04/2019 23:04,26
05/04/2019 23:05,26
05/04/2019 23:06,26.4
05/04/2019 23:07,26
05/04/2019 23:08,26
05/04/2019 23:09,26
05/04/2019 23:10,29.6
05/04/2019 23:11,29.2
05/04/2019 23:12,28.4
05/04/2019 23:13,27.6
05/04/2019 23:14,27.2
05/04/2019 23:15,28.4
05/04/2019 23:16,29.2
05/04/2019 23:17,30.4
05/04/2019 23:18,33.6
05/04/2019 23:19,32.8
05/04/2019 23:20,32.8
05/04/2019 23:21,33.2
05/04/2019 23:22,34.4
05/04/2019 23:23,35.2
05/04/2019 23:24,36
05/04/2019 23:25,36.8
05/04/2019 23:26,40.8
05/04/2019 23:27,41.2
05/04/2019 23:28,52.8
05/04/2019 23:29,56.4
05/04/2019 23:30,56
05/04/2019 23:31,54.4
05/04/2019 23:32,54.4
05/04/2019 23:33,52
05/04/2019 23:34,51.6
05/04/2019 23:35,50.8
05/04/2019 23:36,52.4
05/04/2019 23:37,52.8
05/04/2019 23:38,54
05/04/2019 23:39,72
05/04/2019 23:40,91.2
05/04/2019 23:41,80.4
05/04/2019 23:42,74.8
05/04/2019 23:43,68.8
05/04/2019 23:44,81.2
05/04/2019 23:45,72
05/04/2019 23:46,82
05/04/2019 23:47,87.2
05/04/2019 23:48,76.8
05/04/2019 23:49,71.2
05/04/2019 23:50,65.6
05/04/2019 23:51,61.6
05/04/2019 23:52,61.2
05/04/2019 23:53,63.2
05/04/2019 23:54,74.8
05/04/2019 23:55,69.6
05/04/2019 23:56,68.8
05/04/2019 23:57,68
05/04/2019 23:58,63.6
05/04/2019 23:59,74
06/04/2019 0:00,72
06/04/2019 0:01,66
06/04/2019 0:02,60.4
06/04/2019 0:03,58.8
06/04/2019 0:04,57.6
06/04/2019 0:05,56.8
06/04/2019 0:06,68.8
06/04/2019 0:07,63.6
06/04/2019 0:08,63.2
06/04/2019 0:09,60
06/04/2019 0:10,56.8
06/04/2019 0:11,57.2
06/04/2019 0:12,55.2
06/04/2019 0:13,52.8
06/04/2019 0:14,52.4
06/04/2019 0:15,53.2
06/04/2019 0:16,53.6
06/04/2019 0:17,55.6
06/04/2019 0:18,54.8
06/04/2019 0:19,52.4
06/04/2019 0:20,63.6
